-----------------------------------------------------------------------------------------
汉字      全拼      五笔      郑码      UNICODE   GBK       笔画数    部首      笔顺编号
珝        xu        gng       CYYT      73DD      AB8D      10        玉        1121541541
珞        luo       gtkg      CRJ       73DE      E7F3      10        玉        1121354251
珟        su        gmgq      CQAR      73DF      AB8E      10        玉        1121351354
珠        zhu       griy      CMKO      73E0      D6E9      10        玉        1121311234
珡        qin       ggwu      CCOD      73E1      AB8F      10        玉        1121112134
珢        yin       gvey      CXO       73E2      AB90      10        玉        1121511534
珣        xun       gqjg      CRK       73E3      AB91      10        玉        1121352511
珤        bao       grmh      CMEZ      73E4      AB92      10        玉        1121311252
珥        er        gbg       CCE       73E5      E7ED      10        玉        1121122111
珦        xiang     gtmk      CNJ       73E6      AB93      10        玉        1121325251
珧        yao       giqn      CVRD      73E7      E7F2      10        玉        1121341534
珨        xia       gwgk      COAJ      73E8      AB94      10        玉        1121341251
珩        heng      gtfh      COI       73E9      E7F1      10        玉        1121332112
珪        gui       gffg      CBB       73EA      AB95      10        玉        1121121121
珫        chong     gycq      CSZR      73EB      AB96      10        玉        1121415435
珬        xu        gdgt      CHA       73EC      AB97      10        玉        1121131534
班        ban       gytg      CUC       73ED      B0E0      10        玉        1121431121
珮        pei       gmgh      CQAL      73EE      AB98      10        玉        1121351252
珯        lao       gftx      CBRR      73EF      AB99      10        玉        1121121335
珰        dang      givg      CKXB      73F0      AB9A      10        玉        1121243511
珱        ying      gevg      CVZM      73F1      AB9B      10        玉        1121443531
珲        hui       gplh      CWHE      73F2      E7F5      10        玉        1121451512
珳        wen       gyee      CSPD      73F3      AB9C      11        玉        11214134333
珴        e         gtrt      CMHM      73F4      AB9D      11        玉        11213121534
珵        ting      gkgg      CJC       73F5      AB9E      11        玉        11212511121
珶        ti        guxt      CUYZ      73F6      AB9F      11        玉        11214351523
珷        wu        ggah      CAHI      73F7      ABA0      12        玉        112111212154
珸        wu        ggkg      CBXJ      73F8      AC40      11        玉        11211251251
珹        cheng     gdnt      CHY       73F9      AC41      10        玉        1121135534
珺        jun       gvtk      CXJ       73FA      AC42      11        玉        11215113251
珻        mei       gtxu      CMZY      73FB      AC43      11        玉        11213155414
珼        bei       gmy       CLO       73FC      AC44      11        玉        11212511134
珽        ting      gtfp      CYMB      73FD      AC45      10        玉        1121312154
現        xian      ghqn      CLR       73FE      AC46      11        玉        11212511135
珿        chu       gkhy      CJI       73FF      AC47      11        玉        11212512134
琀        han       gwgk      COXJ      7400      AC48      11        玉        11213445251
琁        xuan      gtnh      CMXI      7401      AC49      11        玉        11213152134
琂        yan       gyg       CSVV      7402      AC4A      11        玉        11214111251
球        qiu       gfiy      CDVS      7403      C7F2      11        玉        11211241344
琄        xuan      gkeg      CJQ       7404      AC4B      11        玉        11212512511
琅        lang      gyve      CSXO      7405      C0C5      11        玉        11214511534
理        li        gjfg      CKB       7406      C0ED      11        玉        11212511211
琇        xiu       gten      CMYM      7407      AC4C      11        玉        11213123453
琈        fu        gebg      CPYA      7408      AC4D      11        玉        11213443521
琉        liu       gycq      CSZN      7409      C1F0      11        玉        11214154325
琊        ya        gahb      CHY       740A      E7F0      10        玉        1121152352
琋        xi        gqdh      COGL      740B      AC4E      11        玉        11213413252
琌        ling      gmwn      CLSX      740C      AC4F      11        玉        11212523445
琍        li        gtjh      CMKD      740D      AC50      11        玉        11213123422
琎        jin       gfjp      CWBN      740E      AC51      11        玉        11211132454
琏        lian      glpy      CWHE      740F      E7F6      11        玉        11211512454
琐        suo       gimy      CKLO      7410      CBF6      11        玉        11212432534
琑        suo       gieg      CKQ       7411      AC52      11        玉        11212432511
琒        feng      gtdh      CRCI      7412      AC53      11        玉        11213541112
琓        wan       gpfq      CWBR      7413      AC54      11        玉        11214451135
琔        dian      gpgh      CWD       7414      AC55      12        玉        112144512134
琕        pin       grtf      CNED      7415      AC56      12        玉        112132511312
琖        zhan      gaat      CHHM      7416      AC57      12        玉        112115341534
琗        se        gywf      CSOE      7417      AC58      12        玉        112141343412
琘        min       gqaj      CRK       7418      AC59      12        玉        112135152511
琙        yu        gakg      CHJA      7419      AC5A      12        玉        112112511534
琚        ju        gndg      CXEJ      741A      E8A2      12        玉        112151312251
琛        chen      gpws      CWOF      741B      E8A1      12        玉        112145341234
